iter	Passed	Remaining
401	13747	20449
402	13781	20415
403	13815	20380
404	13846	20342
405	13879	20305
406	13911	20268
407	13942	20230
408	13977	20196
409	14009	20159
410	14043	20126
411	14078	20092
412	14115	20062
413	14147	20025
414	14180	19988
415	14213	19954
416	14252	19926
417	14289	19895
418	14326	19866
419	14361	19832
420	14394	19796
421	14427	19760
422	14459	19723
423	14491	19686
424	14525	19652
425	14559	19617
426	14592	19581
427	14627	19549
428	14660	19513
429	14691	19474
430	14723	19438
431	14758	19405
432	14795	19374
433	14832	19343
434	14861	19302
435	14893	19265
436	14930	19235
437	14971	19209
438	15007	19178
439	15041	19143
440	15078	19113
441	15113	19079
442	15143	19040
443	15173	19000
444	15203	18962
445	15240	18930
446	15275	18897
447	15304	18857
448	15334	18818
449	15369	18785
450	15401	18747
451	15433	18711
452	15466	18675
453	15497	18637
454	15530	18601
455	15561	18564
456	15593	18527
457	15625	18491
458	15657	18454
459	15689	18417
460	15720	18380
461	15752	18344
462	15787	18310
463	15847	18306
464	15906	18300
465	15941	18267
466	15977	18235
467	16005	18194
468	16038	18159
469	16068	18120
470	16100	18083
471	16133	18047
472	16164	18009
473	16199	17976
474	16230	17938
475	16260	17900
476	16291	17862
477	16322	17824
478	16354	17788
479	16386	17752
480	16418	17715
481	16451	17680
482	16482	17643
483	16516	17608
484	16546	17569
485	16577	17532
486	16612	17499
487	16642	17461
488	16673	17423
489	16704	17385
490	16738	17351
491	16768	17313
492	16803	17280
493	16844	17254
494	16899	17240
495	16936	17209
496	16972	17177
497	17007	17144
498	17043	17111
499	17078	17078
500	17111	17043
501	17149	17012
502	17184	16979
503	17220	16946
504	17253	16912
505	17290	16880
506	17320	16842
507	17356	16809
508	17395	16780
509	17429	16745
510	17468	16716
511	17500	16679
512	17538	16649
513	17568	16611
514	17634	16607
515	17680	16583
516	17719	16554
517	17759	16524
518	17804	16501
519	17854	16480
520	17891	16449
521	17939	16427
522	18060	16472
523	18098	16440
524	18142	16414
525	18184	16386
526	18228	16360
527	18273	16335
528	18314	16306
529	18357	16279
530	18400	16251
531	18439	16221
532	18482	16193
533	18525	16166
534	18567	16138
535	18608	16109
536	18652	16082
537	18691	16050
538	18729	16019
539	18769	15989
540	18821	15968
541	18859	15936
542	18900	15907
543	18945	15880
544	19047	15901
545	19104	15885
546	19137	15848
547	19173	15814
548	19208	15779
549	19243	15744
550	19272	15705
551	19305	15668
552	19337	15631
553	19366	15590
554	19401	15556
555	19432	15518
556	19462	15479
557	19496	15443
558	19526	15404
559	19559	15368
560	19591	15330
561	19625	15295
562	19665	15264
563	19704	15232
564	19742	15199
565	19775	15163
566	19806	15125
567	19835	15086
568	19868	15049
569	19906	15017
570	19939	14980
571	19972	14944
572	20002	14906
573	20034	14868
574	20067	14832
575	20096	14793
576	20127	14755
577	20157	14717
578	20191	14681
579	20228	14648
580	20259	14610
581	20291	14573
582	20325	14538
583	20357	14501
584	20386	14462
585	20417	14424
586	20447	14386
587	20477	14348
588	20506	14309
589	20539	14272
590	20570	14235
591	20600	14197
592	20635	14162
593	20665	14124
594	20698	14088
595	20729	14051
596	20758	14013
597	20790	13976
598	20819	13937
599	20850	13900
600	20881	13862
601	20918	13829
602	20952	13794
603	20983	13757
604	21015	13720
605	21051	13686
606	21084	13650
607	21118	13616
608	21148	13578
609	21178	13540
610	21210	13503
611	21241	13466
612	21271	13428
613	21305	13394
614	21335	13356
615	21364	13318
616	21398	13282
617	21431	13247
618	21459	13208
619	21493	13173
620	21524	13136
621	21552	13098
622	21584	13061
623	21615	13024
624	21647	12988
625	21678	12951
626	21710	12915
627	21746	12881
628	21778	12845
629	21815	12812
630	21846	12775
631	21878	12739
632	21912	12704
633	21945	12668
634	21976	12631
635	22005	12594
636	22035	12557
637	22064	12519
638	22096	12483
639	22128	12447
640	22159	12410
641	22193	12375
642	22225	12339
643	22259	12304
644	22289	12268
645	22324	12233
646	22360	12199
647	22392	12163
648	22423	12127
649	22454	12090
650	22482	12052
651	22513	12016
652	22545	11980
653	22577	11944
654	22611	11910
655	22643	11874
656	22680	11840
657	22725	11811
658	22759	11776
659	22793	11742
660	22826	11706
661	22856	11670
662	22889	11634
663	22921	11598
664	22953	11563
665	22988	11528
666	23020	11492
667	23054	11458
668	23091	11424
669	23126	11390
670	23155	11353
671	23188	11318
672	23221	11282
673	23250	11245
674	23280	11209
675	23312	11173
676	23341	11136
677	23372	11100
678	23407	11065
679	23442	11031
680	23482	10999
681	23520	10966
682	23553	10932
683	23587	10896
684	23619	10861
685	23650	10825
686	23681	10789
687	23711	10752
688	23742	10717
689	23775	10681
690	23811	10647
691	23850	10615
692	23885	10581
693	23923	10548
694	23959	10514
695	23998	10481
696	24037	10449
697	24074	10416
698	24113	10383
699	24153	10351
700	24194	10319
701	24235	10287
702	24271	10254
703	24308	10220
704	24349	10188
705	24393	10158
706	24434	10126
707	24469	10092
708	24505	10058
709	24539	10023
710	24569	9986
711	24601	9951
712	24633	9915
713	24669	9881
714	24703	9846
715	24740	9813
716	24773	9778
717	24807	9743
718	24836	9706
719	24869	9671
720	24899	9634
721	24931	9599
722	24961	9563
723	24995	9528
724	25027	9493
725	25056	9456
726	25094	9423
727	25131	9389
728	25169	9356
729	25210	9324
730	25248	9291
731	25286	9258
732	25327	9225
733	25365	9192
734	25405	9159
735	25440	9125
736	25477	9091
737	25517	9059
738	25561	9027
739	25601	8995
740	25640	8962
741	25679	8929
742	25714	8894
743	25756	8862
744	25797	8829
745	25834	8796
746	25873	8763
747	25913	8730
748	25952	8697
749	25985	8661
750	26021	8627
751	26050	8591
752	26084	8556
753	26120	8522
754	26159	8488
755	26197	8455
756	26235	8421
757	26278	8389
758	26312	8354
759	26343	8318
760	26384	8286
761	26427	8254
762	26468	8221
763	26508	8188
764	26541	8153
765	26573	8117
766	26607	8082
767	26641	8047
768	26673	8012
769	26712	7979
770	26764	7949
771	26815	7919
772	26853	7885
773	26885	7850
774	26982	7833
775	27025	7801
776	27065	7767
777	27108	7735
778	27214	7720
779	27259	7688
780	27292	7653
781	27333	7619
782	27374	7586
783	27413	7552
784	27449	7518
785	27484	7482
786	27523	7449
787	27558	7414
788	27596	7380
789	27638	7346
790	27675	7312
791	27714	7278
792	27749	7243
793	27784	7208
794	27827	7175
795	27912	7153
796	27960	7121
797	27997	7087
798	28032	7052
799	28072	7018
800	28109	6983
801	28150	6949
802	28186	6915
803	28226	6880
804	28266	6847
805	28301	6811
806	28336	6776
807	28377	6743
808	28415	6708
809	28458	6675
810	28502	6642
811	28539	6607
812	28573	6572
813	28605	6536
814	28638	6500
815	28678	6466
816	28717	6432
817	28761	6399
818	28801	6365
819	28834	6329
820	28871	6294
821	28921	6262
822	28965	6229
823	29005	6195
824	29046	6161
825	29080	6125
826	29111	6089
827	29151	6055
828	29191	6021
829	29231	5987
830	29271	5953
831	29311	5918
